,spent_rate,customer_state,customer_city,customer_count,total_spent,customer_count_percent,total_spent_percent
3553,med,SP,primavera,3,278.9,0.003153181560194236,0.0025490931485505426
3554,high,SP,barra do turvo,2,278.9,0.0021021210401294906,0.0025490931485505426
3555,med,PR,cidade gaucha,3,278.89,0.003153181560194236,0.002549001750445539
3556,med,RN,pau dos ferros,3,278.89,0.003153181560194236,0.002549001750445539
3557,high,GO,sanclerlandia,1,278.8,0.0010510605200647453,0.0025481791675005068
3558,high,SC,ouro,1,278.79,0.0010510605200647453,0.002548087769395503
3559,med,MG,igarape,3,278.78,0.003153181560194236,0.002547996371290499
3560,med,MS,ladario,3,278.7,0.003153181560194236,0.0025472651864504705
3561,med,RS,cidreira,3,278.12,0.003153181560194236,0.0025419640963602616
3562,low,SP,tapiratiba,7,278.0,0.0073574236404532175,0.002540867319100218
3563,high,MA,coelho neto,1,278.0,0.0010510605200647453,0.002540867319100218
3564,high,MG,sao sebastiao do rio verde,1,278.0,0.0010510605200647453,0.002540867319100218
3565,high,PB,ibiara,1,278.0,0.0010510605200647453,0.002540867319100218
3566,high,MG,presidente olegario,2,277.99,0.0021021210401294906,0.002540775920995215
3567,high,PR,jundiai do sul,2,277.99,0.0021021210401294906,0.002540775920995215
3568,high,RS,santo antonio das missoes,2,277.99,0.0021021210401294906,0.002540775920995215
3569,high,BA,ibiraja,1,277.95,0.0010510605200647453,0.0025404103285752
3570,med,RS,gaurama,3,277.88,0.003153181560194236,0.002539770541840175
3571,med,MG,mirai,3,277.8,0.003153181560194236,0.0025390393570001463
3572,med,MG,pecanha,3,277.8,0.003153181560194236,0.0025390393570001463
3573,med,BA,paramirim,3,277.7,0.003153181560194236,0.00253812537595011
3574,low,PA,parauapebas,7,276.53,0.0073574236404532175,0.002527431797664688
3575,low,MG,ouro branco,10,276.26,0.010510605200647453,0.0025249640488295907
3576,med,MG,piranga,3,276.2,0.003153181560194236,0.002524415660199569
3577,high,ES,rio novo do sul,1,276.0,0.0010510605200647453,0.0025225876980994972
3578,low,BA,valenca,6,275.92,0.006306363120388472,0.0025218565132594686
3579,high,MG,chapada gaucha,2,275.89,0.0021021210401294906,0.0025215823189444573
3580,med,SP,santa adelia,3,275.79,0.003153181560194236,0.002520668337894422
3581,low,SP,pompeia,7,274.95,0.0073574236404532175,0.0025129908970741186
3582,med,BA,santaluz,3,274.89,0.003153181560194236,0.002512442508444097
3583,med,SC,sao carlos,3,274.88,0.003153181560194236,0.0025123511103390932
3584,low,SP,penapolis,8,274.3,0.008408484160517963,0.0025070500202488844
3585,low,RS,venancio aires,7,274.27,0.0073574236404532175,0.002506775825933873
