,month,customer_type,total_order,total_order_pct,order_growth_pct,total_spent,total_spent_pct,spent_growth_pct
55,Apr-2018,new,6709,96.75511970002884,-0.03425939254354393,966888.2100000001,97.01403630319739,0.011797224406186135
56,Apr-2018,all,6934,100.0,-0.035336672231496946,996647.75,100.0,0.013663676118992107
57,May-2018,all,6853,100.0,-0.011681569079896148,996517.68,100.0,-0.00013050749374587944
58,May-2018,existing,249,3.6334452064789144,0.10666666666666669,33556.2,3.3673461769388777,0.1275779128306418
59,May-2018,new,6604,96.36655479352109,-0.0156506185720674,962961.48,96.6326538230611,-0.00406120372488572
60,Jun-2018,existing,226,3.6688311688311686,-0.09236947791164662,29211.78,3.376599138683318,-0.12946698374666976
61,Jun-2018,new,5934,96.33116883116884,-0.1014536644457904,835912.53,96.62340086131668,-0.13193565125782591
62,Jun-2018,all,6160,100.0,-0.101123595505618,865124.31,100.0,-0.13185252267676772
63,Jul-2018,all,6273,100.0,0.01834415584415594,895507.22,100.0,0.0351197043578626
64,Jul-2018,existing,219,3.4911525585844094,-0.030973451327433676,26924.850000000002,3.0066591757909005,-0.07828793726366545
65,Jul-2018,new,6054,96.5088474414156,0.020222446916076775,868582.3700000001,96.99334082420911,0.03908284518716343
66,Aug-2018,existing,214,3.3168009919404837,-0.022831050228310557,26728.119999999995,3.127243184057945,-0.007306633091735182
67,Aug-2018,all,6452,100.0,0.028534991232265217,854686.33,100.0,-0.04558409925494511
68,Aug-2018,new,6238,96.68319900805952,0.03039312851007603,827958.21,96.87275681594204,-0.0467706476704105
69,Sep-2018,new,0,0.0,-1.0,0.0,0.0,-1.0
70,Sep-2018,all,1,100.0,-0.999845009299442,145.0,100.0,-0.9998303471169359
71,Sep-2018,existing,1,100.0,-0.9953271028037384,145.0,100.0,-0.9945750019081028
